user_id,liked_product_ids
AEAXAJACFMXIAAH4WOHRMXPSZWFA,"['B082DQDDBV', 'B0075O4WKS', 'B0128P6Z08', 'B0085BEQX8', 'B07PKV75YF', 'B0846LMMT5', 'B00HDOZY1G', 'B00N6WHTRG', 'B00OXDWFG2', 'B00SNXTL9M', 'B00018TN1S', 'B00UVZ58GA', 'B00O7U6I0A', 'B017146858', 'B015OOVX3E', 'B01FIG0OXS', 'B082DQDDBV', 'B083BGJ4P9', 'B08BG42L39', 'B08H1VZ5B9', 'B08DK74M1P', 'B08GKV9NV3', 'B08F4ZDVZQ', 'B08JGL46K5', 'B0B2L218H2', 'B0752ZGG15', 'B08K2NG4KX', 'B08F4XPC97', 'B07YNDMDZ6', 'B07YNDXQXB', 'B07W1WJZFG', 'B08G4VWFNS', 'B06Y18KH8Z', 'B083BCSQGN', 'B07YNH56W5', 'B08VKQY815', 'B08WF29DM9', 'B07D8LWWDW', 'B08RRSPNWV', 'B07F2RQX2Y', 'B08VQY1Z1S', 'B07B7NTT8Z', 'B08SWKD1WX', 'B07C64FR2F', 'B01M24DUXH', 'B00BXQIGA6', 'B08BKWLHYP', 'B08P5579KC', 'B08R6R1LNP', 'B0863GCVW5', 'B092TZCV1Y', 'B08LPGZMQK', 'B08DV6T69H', 'B08BTSF6MZ', 'B093P3GKF6', 'B08K2K6RH8', 'B095LCPL8F', 'B0963P8FGS', 'B095MX115C', 'B0793JDW3W', 'B0929B8N9L', 'B08HJ3FRDK', 'B096S4RQNH', 'B08ZNLBJ5B', 'B0977LVHF8', 'B098X8XR24', 'B0868W34QW', 'B097WV2LZB', 'B09LWV3HH2', 'B09MKZQ3LD', 'B005AL5H9S', 'B09G3KBK7Y', 'B09NXZJV2J', 'B09FTF6T91', 'B09WF43RCD', 'B09YLYYHZN', 'B0BLTGGJZC']"
AEAYZ43RB4MFFD4GTGPTW5N5OXLA,"['B00DUGIO36', 'B0C5HRMLRP', 'B00009W3I4', 'B0833NYW1X', 'B09MDTWWG2']"
AEAZU2CWMBHHJJA4VHMXBRRH5QOA,"['B010HW5HV2', 'B00WAOH7NW', 'B01AROX8A2', 'B01CURASWA', 'B0C4WK4187', 'B08C2GDFYG', 'B08WYTNTNF']"
AEBAA7BHX43IRN3ZBPMLIIR23UCA,"['B004MDLZKU', 'B07P3Y8JWY', 'B07RZ4MGXR', 'B004H3XX4G', 'B07P3Y8JWY', 'B07M718BHT', 'B07QB63VN9']"
AEBM4WS7ALI75BRW3BMLGG2FKBHA,"['B001DPTK6Q', 'B0027FF3JY', 'B077RHXPV9', 'B07P3Y8JWY', 'B09CBF2XCF', 'B07JHBPYKZ']"
AEBT65WYSNQD4JT3H5HSHI6XXN6A,"['B07NX1K9S8', 'B002JAKRAM', 'B07QV3TH8K', 'B00VXC8K2E', 'B082S9JRRX']"
AEBV2MQKLIF4QAZMRRLAMMQIBQFA,"['B000UW2DTE', 'B01CC7UI46', 'B004H3XR9M', 'B01HPXMEE4', 'B004GL9RKS']"
AEBXJRP4COCKP22LPKUDVCQ7JKVQ,"['B00U54AQXC', 'B00ZS8F73Y', 'B09DX5CCTL', 'B0133J179M', 'B092LLM7H3', 'B07M6LSZVF', 'B07975VMYB', 'B00BXLSYEY']"
AECEMZOBX5RM2KH2LTAGPTMNSB5A,"['B09TX2YL1F', 'B0B1J4XVW6', 'B09QKTK7C9', 'B0BYZ86N13']"
AECLZPHQ72FZTCG2MWNAZIJXCRZQ,"['B09V1WZTDP', 'B0B442Q5WY', 'B08HVRP54L', 'B0B7DQ98PR']"
AECNJEZHUGFLNU7Z6VNYLVUQQQDQ,"['B07QR1VCHM', 'B08FJJ9GPJ']"
AECOPBDL3PHOESNB2RXKPZSXGBOA,"['B0BC273JJR', 'B089CSF11Y', 'B089YGZZYP', 'B08CVCLVS2', 'B0BTJ6SYKB', 'B09NCDK9T1']"
AECQQBG6YRYCOJL2NCB2H3V6LD6Q,"['B01MXOZDAB', 'B00LHZC4GA', 'B07W7PNSV2', 'B07ZS3DKL5', 'B07KJPCSZS', 'B07K8JFBH1', 'B087D1YQ2H', 'B08GJJ5RV9', 'B0848H7K2N', 'B07YNDWRCB', 'B08PVH18Z6', 'B08KFKB2FX', 'B08R3KHG94', 'B08VKQY815', 'B0949MJRHK', 'B08YYGB6TJ', 'B095VQX4DV', 'B009GPP546', 'B0B2VVXM9C']"
AECTQQX663PTF5UQ2RA5TUL3BXVQ,"['B007P4WD4A', 'B0BVMJ6NSZ', 'B00DM8JK3A', 'B01BHUSQZ2', 'B083DN6DXQ', 'B0C9VMLRBW', 'B08T3F8M56']"
AECY7ASUODKNCHGC3CFYDVN6YMYQ,"['B00K5J673A', 'B07FP11ZN6']"
AECYM4TEVRJGZ43LFV7V2ORY5R4A,"['B00SAEX73U', 'B010OW7YS4', 'B00IZHMWR4', 'B014CYVO5Y', 'B08YBGCNHP', 'B07GXLQQ6M']"
AEDBY2WEL2AXKVJVBDULCR6EZDCA,"['B009HQGFRA', 'B074WCLFPV', 'B00OL1CIOA']"
AEDORUA4LL4AGVPOHKGCLNJO5FIQ,"['B0719C5P56', 'B00ADR2LV6', 'B00GOLH84U', 'B01JOENTC8', 'B08MBLJWDS']"
AEDTHFPXGGQUCBVXL3RUZPBFJB7Q,"['B00JFBLZ90', 'B00JFBLZ90', 'B01B3DYSF0', 'B01B3DYSF0', 'B077N4CNVJ', 'B077N4CNVJ', 'B073VBZM8J', 'B073VBZM8J', 'B07CYNWTXK', 'B07CYNWTXK', 'B0C36XXTMG', 'B0C36XXTMG']"
AEDWKL5XHI2IRVNK2RTBOU7X7C3Q,"['B00AF7U1F2', 'B013QN32MA', 'B018UHB9RM']"
AEE53DTIR6I2OOZGRK5W6Z7RQRHA,"['B08FF6LQ3G', 'B09SJ44123', 'B0B58SW4D1', 'B09SHKSFBZ', 'B09YZRRN9M']"
AEEHSGIEOXLHDMNDUYGX4R4W5TZA,"['B01BEYRHBA', 'B07DNGSYK8', 'B07JHV9P52', 'B088LWRYJC', 'B08ZYKQ3D3', 'B09BHNWDFB', 'B0BKV6ZRZW']"
AEEMDXUOIYUWUPHQN3ZYNKGXGQWQ,"['B002DHW4CU', 'B002DHWQZA', 'B0CBSGSG5H', 'B01IO0E9RC', 'B07FLCBP96', 'B08T77S2G1']"
AEET5KLEXDWODK3Y7N2IGLDIMOCA,"['B09V2XX19L', 'B00VBP8QPO', 'B07PNYLS9M', 'B07GG6KP6H', 'B00CX2IYE2', 'B00ND76IO4']"
AEETKAAQQXZE4H6J4GJMDOU5XQKQ,"['B07CCZH87X', 'B07K7FB3WB', 'B07F3C1QG4', 'B07S6CYNBK', 'B087F14JSH', 'B087Z9X39L', 'B07F8167WJ', 'B09Z8ZY59Q']"
AEETVT5LWKSQXZOSURSA6PCVDU7Q,"['B004G6E01Y', 'B00VC9TTCS', 'B01GZO5HG6', 'B08DCY6PYY', 'B08G4W8BH9']"
AEF2UR62AHTNCKYRCC3HBVCMAXTA,"['B0B14FVFTH', 'B001ICQSH8', 'B001DPX594', 'B000NCTOUM', 'B00ES4XO98']"
AEF4QCBYMXQN3RDFNM4ZXM67UTJA,"['B086XFY858', 'B08HL2GW6R', 'B08M256NMN', 'B0929B8N9L', 'B097F1B375', 'B09SH1FD9S', 'B081KSD3BK', 'B09W2DZPPX', 'B003BIGDM2', 'B00DZU97PQ', 'B0B6QJLY2H', 'B0BQWTRS1V']"
AEF6JPGZOMQVBFROVXBUWPTPEFNA,"['B00BXLUFQ4', 'B000BQSYQU', 'B00ZY70Y78', 'B00X74X580', 'B07QJWCNXY']"
AEFLR7CMNDLXWNH4CC6TVU4EEYXQ,"['B07F33MRSW', 'B07CSMTXBW', 'B08BL54PLG', 'B086X8TVWJ', 'B08F4W6YWF']"
AEFV6L56VVNP3EWGJDMESKQGDXKQ,"['B0C6695YHW', 'B01KVUIW26', 'B084LXHWLS', 'B0B3DB5HTC', 'B07Q81D31N', 'B07GLHXLPS', 'B082Z8SK37', 'B07YS7X4LW', 'B00UXG4WR8', 'B08X7H3FLH', 'B00UB38V2A']"
AEG53RRKBPJHD5JQNBX2EBIIY7IA,"['BT00CTOUNS', 'B00BXLSJXA', 'B00GOLGUVC', 'B01CZ54AZS', 'B00BXLT0Q0', 'B00BXLW2AQ', 'B08T7PLH4K', 'B071X4ZX3X']"
AEGC737FLBKT2AFLGFG2Z6GYJWJA,"['B09VTZ54J7', 'B08F2KRHQY', 'B0719C5P56', 'B0BTSQRXNZ', 'B0852VY9YL']"
AEGDUYN25YBUZRLXZZQD56OXX6BQ,"['B00CXZPEPG', 'B016CDNMMG', 'B00PG23QFI', 'B00ADR2LV6', 'B00BXLT5EW', 'B00FTGF3P2', 'B071X4ZX3X']"
AEGKJTQWHGBIOTO34OB3GKIGCN7A,"['B076DBLG1K', 'B088YHN4JT', 'B00O2FGBJS', 'B08BYWJZ3S', 'B08G83G24X', 'B08343FS9P', 'B08HGZXLP6', 'B08KZQKD4G', 'B08PH8TXWW', 'B0857H7SCD', 'B08HDG9F44', 'B095YC3KRZ', 'B095CG2ZV1']"
AEGNRZI3ROAWTBOC4SAJKF2A2CAA,"['B01IDT29R6', 'B01KMWRUVW', 'B01LFO6IZK', 'B01HIIT4TE', 'B01IIUP1XE', 'B01K8173NC']"
AEGOC3SWY3CBX3PYUNVTYFRC5K3A,"['B00JFBLZ90', 'B071X4ZX3X', 'B077N4CNVJ', 'B00ADR2LV6', 'B018F4M89S', 'B01IE42XY4', 'B079PMF9VC']"
AEGXISYQ2XXT3GZ4K3J2PPOAXQUA,"['B00DM8J3MI', 'B00DM8KS9U', 'B00HNEJHGO', 'B08YS281XD', 'B0785NVL2S']"
AEGYU6OM2X66SMZN6AF3TSQ3N5PQ,"['B01G5YXKOM', 'B07DXCVLY7', 'B077BG6R36', 'B0892F62TR', 'B07NCXVDD4', 'B091C81G26', 'B005AL5H9S', 'B08R6YH4QD', 'B0874K9KQL']"
AEGZUGS74AIXKND3LQEAZAS4NVNA,"['B00AX3YNPC', 'B07GDQPG12', 'B071R2QPF3', 'B086ST4W1C', 'B0919LJ9WT', 'B0B4RV6X1H']"
AEH2TOIVLQFTAAKPFY5SKLGLT4YA,"['B00DNAGRVA', 'B00BXLTG8C', 'B00BXLW5QC', 'B00ADR2LV6', 'B00BXLUFQ4', 'B00GOLGUVC', 'B01B3DYSF0']"
AEH3JDV7GPE3DEYUCQRWGWBNUZUQ,"['B0BHSNH61B', 'B0B68NMQHW', 'B0BM6FRHYS', 'B0BDK7STLH']"
AEH5FSE32L2LIC32FLO7RC37ZPEQ,"['B00DM8JS8W', 'B00HNEJHRS', 'B0752B57FG', 'B08LK4Q3VF', 'B0BWQS3QT8', 'B07VW7SLLJ', 'B07Y56YT4Z']"
AEH7KSVEFBYK3C7F4HCQPP6UV74A,"['B002C741MC', 'B01720VIXI', 'B075M9L47N', 'B07FZ5HZLM', 'B006MRD8D6']"
AEHAVAPGTESKZ2R4JHNZIJTM3SPQ,"['B009IO1C92', 'B00545AQSW', 'B00CD4MW6Q', 'B0BHVBRK6H', 'B0CBQFJQ6F']"
AEHDOHMIVBYT7OEVZQR4A4KD5GDA,"['B0C2ZHKWX5', 'B0BW9B4YZL', 'B07QC7JRDP', 'B0BB85L272']"
AEHDW7JVUP3VY5UN5YDZ3D7XEMLQ,"['B016ZCJ2TQ', 'B017WL4EQ0', 'B018F4M89S', 'B00ADR2LV6', 'B00ADR2LV6']"
AEHHPXZBT73DWDID72NX3QK77QHQ,"['B09YPXT4QD', 'B0B58SW4D1', 'B0BZCYRNMR', 'B0B5N2CDJS', 'B0BCWLBVDT', 'B082PT9NZY', 'B0BYJ8JYL3']"
AEHLKY7Q5O3D3E6YEV67JIBVFNFA,"['B07T3Z58HL', 'B087JRFDR4', 'B07YD7JZB7', 'B07YS9W97B', 'B08HRNPNR5', 'B08L932ZK8', 'B08P2DZB4X', 'B08BTSF6MZ', 'B09B8RZKBJ', 'B0971Z28DS']"
AEHMQSTB6ESWFAT4AHROTV6M7VWA,"['B07S9H98QF', 'B0914JBBTV', 'B087BC7GPT', 'B08BFBYNM1', 'B086M8MZGB', 'B087PJ121M', 'B08Y3T4VYM', 'B096T3KHRX', 'B08R8Y165N']"
AEHZCGGVO45436WBQZWKDWYQPW7Q,"['B009CEP5NC', 'B00QFVFNAK', 'B071X4ZX3X', 'B07YV3KZ9V', 'B01CCCS28K', 'B00C5TJ4QA', 'B00KPVNIEO']"
AEI42NAE7RRX4YGEIVZANIJDQE4A,"['B01AZDORLY', 'B0BHSX2N17', 'B0BLLHNY92', 'B0BNNXZG4Y']"
AEI77FRGYVNL3P7GNBBK76XHCU5A,"['B07FM69672', 'B07J3GH1W1', 'B07S9H98QF', 'B08W8LKLHB']"
AEIDFFJ25Y4IHPSNEA3Y4KEAP2NA,['B08K8G8XRF']
AEIFKAOUNPBM545EFMLBX3SO7OBQ,"['B0175Y17SW', 'B017TLV7O0', 'B07NX1K9S8', 'B0B69D699Q']"
AEIGCWZ73EMNVZYWECYRASFRE5JQ,"['B00JEPKT3K', 'B0BHVB8BF4', 'B012V6DYT4', 'B00IX1I3G6', 'B07NKB6FLT']"
AEII54OV6OOTX4WDMZLL4DFLUF4Q,"['B08GNHQ165', 'B00EXT6RI8', 'B0BB7V42WL', 'B07W7KWB6P']"
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ,"['B0771FD7LB', 'B01KKHYVZ2', 'B07FZ5HZLM', 'B07JMNYK7X', 'B07FXYHZCF', 'B07Z6LVW7D', 'B085J9K64C']"
AEIIVCJ5ZXDADMXPD7Z4VTCYURIA,"['B07HJ61XHK', 'B019GBG0IE', 'B085PW8XMC', 'B0BS6H2WL5']"
AEIMK4ZR5RZRM2O5XYX4QXIRJJMA,"['B08YBGCNHP', 'B0C7CC35KH', 'B07BSLD2TR', 'B07CHZZ436', 'B07TM2HRG7', 'B09ZQMN167']"
AEIP557SVLB5T72BRWD7T66ZHY3A,"['B01LWX45ZW', 'B00BXLW2AQ', 'B01DFWID1W', 'B00BXLVDRE', 'B01N5TMK8I', 'B01MSBQB1P']"
AEIUPBYBQH6WNZT7OXURV3ZQDODQ,"['B0BX9GK3PB', 'B09KXMZFDT', 'B07F4K3HXJ', 'B0C1FRXSK2']"
AEJ4FAZBYK7Z4W3W477GHPLZJM5Q,"['B08HC5LDYF', 'B097BSKSQW', 'B0B5BZ5MV4']"
AEJN2R2OHZLSY6C2VJRI6SQMTCBA,"['B086X845K9', 'B08GKHYPW3']"
AEJP7A3GXD5XEWGVBCVLTXDYQ7TA,"['B077N4CNVJ', 'B0763R8L73', 'B0719C5P56', 'B071X4ZX3X', 'B00ADR2LV6', 'B00JFBLZ90']"
AEJSSR7ZD2ICM5A2HRVNNFLLBTFQ,"['B08SR77YRX', 'B08GNHQ165', 'B07XZMCBSK', 'B07H3B3278']"
AEJVGIKDIKQ6HY3JJ4YT6I6GTKQQ,"['B0BPFM7JSG', 'B085R91V61', 'B09LTWVHQ7']"
AEJX7QCOD2GMAEOXG242NYAURMDA,"['B00JFBLZ90', 'B07641P3WL', 'B018Y7OGRI', 'B079PMF9VC', 'B01K8RKA9A', 'B077N4CNVJ']"
AEJYZYAGZWA66BKDTRDUTKUYIDFQ,"['B091MZJ812', 'B0029CZQIS', 'B00DNGULGQ', 'B01G4WRZSC', 'B01G4W2ZNC']"
AEKC7EQ4FQ5JYA7RS64OEDSVXO6Q,"['B00DM8LCA4', 'B0042U16YI', 'B00DM8KTHG', 'B01KRBRUA4', 'B07JFFS74N', 'B07L3PLRXP', 'B00DM8LJNE', 'B00G2THQLE']"
AEKF5N4WVLUBWBCQIYWSH5XRJ6VA,"['B00W0Z1FSY', 'B013EPVW2C', 'B0053F8DIS', 'B0BVFV4JD7', 'B07D78JYSH']"
AEKIFHOUUC6C3Y4M4V4HS6KECNKQ,"['B0BWBF4MN1', 'B002HT0958', 'B005GM942C', 'B004TSZBO4', 'B08B4PWGW3']"
AEKIGT3HOGPH3DJBTROHG2Q5347Q,"['B00A8O06YS', 'B07D7FSX5C', 'B00DM8L8DK', 'B08FDD8GZN']"
AEKPFGHBC3KTHPN3U5I3TZOL5DIA,"['B07G67H2CW', 'B07B87V9L1', 'B07RF9N35D', 'B08R9C9LBD', 'B0C5QN7WF1', 'B08W791TBL']"
AEKUT72EKOVB3GUFKFXIIK7GJVUA,"['B0C43B9TXJ', 'B08TC4JWB7', 'B08ZHD696S']"
AEKWM42NJFE7X54QV7E35SKXHL2A,"['B00BXLVETG', 'B018F4M89S', 'B06ZYYZDZD', 'B07DD5D9LP']"
AELARKBAP6VKNL4D22ORELHTREBA,"['B000DLB2FI', 'B07WGN5G4R', 'B077Y8DMHK', 'B07PTRTN2K', 'B07PTRTN2K', 'B0721RVRYN', 'B09HB8LNGK', 'B09J3MFWWJ', 'B0C65CKXKK', 'B09XFQCQXT', 'B0BRN8PQCZ', 'B0BJDHT6QN', 'B0BNVCKGFR', 'B0BQJ5RZLC']"
AELBMRGOWMO3ILFOGCB3KFGMBHZA,"['B00MU2WHFM', 'B07DMF7964', 'B07D921RMB', 'B0BRQ7HMTF', 'B073Q9FXJ7']"
AELGAM7ESKUKMZSP23JO3UX57IRA,"['B003GL659K', 'B001TJ5380', 'B007Z3PDHA', 'B07P6FBDBM', 'B08V3174QC', 'B00LG5VVPG']"
